,FullClassPath,Project_x,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Project_y,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
1596,org.gjt.sp.jedit.gui.AddModeDialog,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,AddModeDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/AddModeDialog.java,jEdit-5.5.0,AddModeDialog,199,8,7,0,4,False,False,3,False,False,5,0,11,17,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
1597,org.gjt.sp.jedit.gui.BeanShellErrorDialog,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,BeanShellErrorDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/BeanShellErrorDialog.java,jEdit-5.5.0,BeanShellErrorDialog,48,0,0,0,0,False,False,4,False,False,0,0,4,0,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1598,org.gjt.sp.jedit.gui.BufferOptions,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BufferOptions,jEdit-v5.5.0/org/gjt/sp/jedit/gui/BufferOptions.java,jEdit-5.5.0,BufferOptions,131,3,2,0,0,False,False,2,False,False,1,0,6,5,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
1599,org.gjt.sp.jedit.gui.BufferSwitcher,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,BufferSwitcher,jEdit-v5.5.0/org/gjt/sp/jedit/gui/BufferSwitcher.java,jEdit-5.5.0,BufferSwitcher,491,6,6,0,0,False,False,2,True,False,22,7,20,43,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1600,org.gjt.sp.jedit.gui.CloseDialog,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CloseDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/CloseDialog.java,jEdit-5.5.0,CloseDialog,261,9,4,0,0,False,False,2,False,False,9,0,13,22,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1601,org.gjt.sp.jedit.gui.ColorChooserDialog,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ColorChooserDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/ColorChooserDialog.java,jEdit-5.5.0,ColorChooserDialog,122,2,2,0,1,False,False,3,False,False,0,0,5,5,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
1602,org.gjt.sp.jedit.gui.CompleteWord,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CompleteWord,jEdit-v5.5.0/org/gjt/sp/jedit/gui/CompleteWord.java,jEdit-5.5.0,CompleteWord,501,5,10,0,5,False,False,2,False,False,32,22,22,49,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1603,org.gjt.sp.jedit.gui.CompletionPopup,jEdit-5.5.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,CompletionPopup,jEdit-v5.5.0/org/gjt/sp/jedit/gui/CompletionPopup.java,jEdit-5.5.0,CompletionPopup,523,4,12,1,2,False,False,2,False,False,25,11,23,52,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
1604,org.gjt.sp.jedit.gui.ContextAddDialog,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ContextAddDialog,jEdit-v5.5.0/org/gjt/sp/jedit/gui/ContextAddDialog.java,jEdit-5.5.0,ContextAddDialog,247,8,4,0,1,False,False,3,False,False,7,0,24,17,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
1605,org.gjt.sp.jedit.gui.DefaultInputHandler,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,DefaultInputHandler,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DefaultInputHandler.java,jEdit-5.5.0,DefaultInputHandler,237,0,5,1,2,False,False,3,True,False,15,5,4,5,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1606,org.gjt.sp.jedit.gui.DockableLayout,jEdit-5.5.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DockableLayout,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DockableLayout.java,jEdit-5.5.0,DockableLayout,462,12,13,1,2,False,False,2,False,False,5,24,1,32,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
1607,org.gjt.sp.jedit.gui.DockablePanel,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DockablePanel,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DockablePanel.java,jEdit-5.5.0,DockablePanel,317,3,5,1,3,False,False,2,False,False,24,5,11,29,0.0,True,False,False,True,False,default,0,0,0,False,Service Provider
1608,org.gjt.sp.jedit.gui.DockableWindowManager,jEdit-5.5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DockableWindowManager,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DockableWindowManager.java,jEdit-5.5.0,DockableWindowManager,765,14,33,2,9,False,False,3,True,False,35,31,22,46,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
1609,org.gjt.sp.jedit.gui.DockableWindowManagerImpl,jEdit-5.5.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,DockableWindowManagerImpl,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DockableWindowManagerImpl.java,jEdit-5.5.0,DockableWindowManagerImpl,1039,11,27,3,7,False,False,4,False,False,53,22,41,101,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
1610,org.gjt.sp.jedit.gui.DropShadowBorder,jEdit-5.5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DropShadowBorder,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DropShadowBorder.java,jEdit-5.5.0,DropShadowBorder,198,2,4,0,2,False,False,3,True,False,1,9,2,4,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1612,org.mars_sim.msp.ui.swing.tool.DropShadowBorder,mars-sim-3.1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DropShadowBorder,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DropShadowBorder.java,jEdit-5.5.0,DropShadowBorder,198,2,4,0,2,False,False,3,True,False,1,9,2,4,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
1614,org.gjt.sp.jedit.gui.DynamicContextMenuService,jEdit-5.5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DynamicContextMenuService,jEdit-v5.5.0/org/gjt/sp/jedit/gui/DynamicContextMenuService.java,jEdit-5.5.0,DynamicContextMenuService,31,0,0,0,0,False,False,4,False,False,0,0,3,0,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
