,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
68,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.SevenZipExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.TarExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.XzExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,com.amaze.filemanager.filesystem.compressed.extractcontents.helpers.ZipExtractor,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,com.amaze.filemanager.filesystem.files.EncryptDecryptUtils,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
73,com.amaze.filemanager.filesystem.files.FileListSorter,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,com.amaze.filemanager.filesystem.files.FileUtils,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
75,com.amaze.filemanager.filesystem.files.GenericCopyUtil,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,com.amaze.filemanager.filesystem.smbstreamer.StreamServer,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,com.amaze.filemanager.filesystem.smbstreamer.Streamer,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,com.amaze.filemanager.filesystem.ssh.SshClientUtils,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,com.amaze.filemanager.filesystem.ssh.SshConnectionPool,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,com.amaze.filemanager.ui.ItemPopupMenu,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,com.amaze.filemanager.ui.activities.AboutActivity,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
82,com.amaze.filemanager.ui.activities.DatabaseViewerActivity,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,com.amaze.filemanager.ui.activities.MainActivity,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0
84,com.amaze.filemanager.ui.activities.PreferencesActivity,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
85,com.amaze.filemanager.ui.activities.TextEditorActivity,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
86,com.amaze.filemanager.ui.activities.superclasses.PreferenceActivity,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,com.amaze.filemanager.ui.activities.superclasses.ThemedActivity,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,com.amaze.filemanager.ui.colors.ColorUtils,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
89,com.amaze.filemanager.ui.dialogs.ColorPickerDialog,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,com.amaze.filemanager.ui.dialogs.GeneralDialogCreation,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,com.amaze.filemanager.ui.dialogs.SftpConnectDialog,AmazeFileManager-v3.5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,com.amaze.filemanager.ui.dialogs.SmbSearchDialog,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
93,com.amaze.filemanager.ui.dialogs.share.ShareTask,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,com.amaze.filemanager.ui.fragments.AppsListFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
95,com.amaze.filemanager.ui.fragments.CloudSheetFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
96,com.amaze.filemanager.ui.fragments.CompressedExplorerFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
97,com.amaze.filemanager.ui.fragments.DbViewerFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,com.amaze.filemanager.ui.fragments.FtpServerFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
99,com.amaze.filemanager.ui.fragments.MainFragment,AmazeFileManager-v3.5.2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0
100,com.amaze.filemanager.ui.fragments.ProcessViewerFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
101,com.amaze.filemanager.ui.fragments.SearchWorkerFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,com.amaze.filemanager.ui.fragments.TabFragment,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103,com.amaze.filemanager.ui.fragments.preference_fragments.ColorPref,AmazeFileManager-v3.5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
104,com.amaze.filemanager.ui.fragments.preference_fragments.FoldersPref,AmazeFileManager-v3.5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
