,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass
109,ca.mcgill.cs.jetuml.viewers.nodes.AbstractPackageNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,ca.mcgill.cs.jetuml.viewers.nodes.ActorNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,ca.mcgill.cs.jetuml.viewers.nodes.CallNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
112,ca.mcgill.cs.jetuml.viewers.nodes.CircularStateNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,ca.mcgill.cs.jetuml.viewers.nodes.FieldNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,ca.mcgill.cs.jetuml.viewers.nodes.ImplicitParameterNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,ca.mcgill.cs.jetuml.viewers.nodes.ObjectNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,ca.mcgill.cs.jetuml.viewers.nodes.PackageNodeViewer,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,ca.mcgill.cs.jetuml.viewers.nodes.TypeNodeViewer,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,ca.mcgill.cs.jetuml.views.ArrowHeadView,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,ca.mcgill.cs.jetuml.views.DiagramViewer,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,ca.mcgill.cs.jetuml.views.Grid,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,ca.mcgill.cs.jetuml.views.ImageCreator,JetUML-3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,ca.mcgill.cs.jetuml.views.SequenceDiagramViewer,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,ca.mcgill.cs.jetuml.views.StringViewer,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
124,ca.mcgill.cs.jetuml.views.ToolGraphics,JetUML-3.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,ca.mcgill.cs.jetuml.views.ViewUtils,JetUML-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,com.athaydes.logfx.LogFX,LogFX-0.9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,com.athaydes.logfx.concurrency.TaskRunner,LogFX-0.9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
128,com.athaydes.logfx.config.Config,LogFX-0.9.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,com.athaydes.logfx.config.ConfigParser,LogFX-0.9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,com.athaydes.logfx.file.FileReader,LogFX-0.9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,com.athaydes.logfx.log.LogFXLogger,LogFX-0.9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,com.athaydes.logfx.text.DateTimeFormatGuesser,LogFX-0.9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
